nombre_producto,marca,tipo_grasa,grado_NLGI,tipo_aceite_base,temp_min_C,temp_max_C,temp_pico_C,punto_goteo_C,viscosidad_40C_mm2s,carga_4ball_N,lavado_agua_80C_%,vida_rodamientos_h,registro_H1,aplicaciones,ventajas
ANDEROL FGCS-2,ANDEROL,Calcio sulfonato complejo,2,White Oil,-20,160,200.0,318,95,4000,0.3,180.0,Sí,"Industria alimentaria, embotellado, farmacéutica","Alta estabilidad mecánica, resistencia al agua, larga vida útil"
ELKALUB GLS 163,ELKALUB,Tixotrópica sintética con PTFE,2,Aceite mineral parcialmente sintético,-20,180,,250,100,2000,1.0,,No,"Rodamientos lentos o rápidos con sellado insuficiente, asientos de pinzas, husillos","Grasa de alta pureza y comportamiento tixotrópico, estable a altas presiones"
COGELSA ULTRAPLEX MCS 2,COGELSA,Sulfonato de calcio reforzada,2,Aceite base de alta viscosidad,-20,180,,300,460,620,11.0,,Opcional,"Engranajes abiertos, reductores, acoplamientos, minería, siderurgia, alimentaria","Excelente capacidad de carga, anticorrosiva y alta estabilidad bajo condiciones severas"
CHEVRON Starplex EP2,CHEVRON,Complejo de litio con disulfuro de molibdeno,2,Aceite mineral refinado,-40,177,,255,220,400,20.0,,No,"Rodamientos automotrices, camiones pesados, maquinaria agrícola y de construcción","Alta estabilidad térmica, excelente protección contra corrosión y desgaste"
CHEVRON Delo Grease EP 1,CHEVRON,Complejo de litio,1,Aceite mineral refinado,-40,177,,245,226,315,10.0,,No,"Vehículos de carretera, autobuses, maquinaria ligera, cojinetes de alta temperatura","Alta resistencia al lavado por agua, buena bombeabilidad a baja temperatura, textura pegajosa"
